[0.362s] Invoking command in '/home/ani/yc_ws/build/my_ur_driver': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ani/yc_ws/build/my_ur_driver -- -j12 -l12
[0.408s] Invoked command in '/home/ani/yc_ws/build/my_ur_driver' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ani/yc_ws/build/my_ur_driver -- -j12 -l12
[0.408s] Invoking command in '/home/ani/yc_ws/build/my_ur_driver': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/ani/yc_ws/build/my_ur_driver
[0.414s] -- Install configuration: ""
[0.417s] -- Execute custom install script
[0.417s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/launch/__init__.py
[0.424s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/launch/__pycache__/camera.launch.cpython-312.pyc
[0.432s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/launch/__pycache__/ur_moveit.launch.cpython-310.pyc
[0.439s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/launch/my_camera.launch.py
[0.445s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/launch/my_moveit.launch.py
[0.452s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/launch/my_ur.launch.py
[0.458s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/launch/simulation.launch.py
[0.465s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/ur_controllers/ur_calibration.yaml
[0.471s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/ur_controllers/ur_controllers.yaml
[0.477s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/gripper/2f_140.ros2_control.xacro
[0.483s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/gripper/robotiq_2f_140.xacro
[0.489s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/gripper/robotiq_2f_140_gripper.urdf.xacro
[0.495s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/gripper/robotiq_2f_140_macro.urdf.xacro
[0.501s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/gripper/ur_to_robotiq_adapter.urdf.xacro
[0.507s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/inc/ur_common.xacro
[0.513s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/inc/ur_transmissions.xacro
[0.520s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/camera/abdo.mlp
[0.526s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/camera/abdo_camera.stl
[0.532s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/camera/cam_holder_basler.stl
[0.538s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/camera/cam_holder_with_onrobot_dual.stl
[0.544s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/camera/cam_holder_with_onrobot_single.stl
[0.550s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/collision/2f_140/robotiq_2f_140_base_link.stl
[0.556s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/collision/2f_140/robotiq_2f_140_coupling.stl
[0.562s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/collision/2f_140/robotiq_2f_140_inner_finger.stl
[0.568s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/collision/2f_140/robotiq_2f_140_inner_knuckle.stl
[0.574s] -- Symlinking: /home/ani/yc_ws/install/my_ur_driver/share/my_ur_driver/my_ur_config/urdf/meshes/collision/2f_140/robotiq_2f_140_outer_finger.stl
